,0,1,2
935,0.11,0.86,0.42
936,0.09,0.84,0.45
937,0.07,0.83,0.48
938,0.05,0.82,0.5
939,0.04,0.81,0.53
940,0.02,0.8,0.55
941,0.01,0.79,0.57
942,0.01,0.77,0.58
943,0.01,0.76,0.59
944,0.01,0.75,0.61
945,0.0,0.74,0.62
946,0.0,0.73,0.64
947,0.0,0.71,0.66
948,0.0,0.7,0.67
949,0.01,0.68,0.69
950,0.01,0.66,0.7
951,0.01,0.64,0.72
952,0.01,0.62,0.75
953,0.02,0.6,0.77
954,0.02,0.57,0.78
955,0.03,0.55,0.8
956,0.03,0.53,0.82
957,0.04,0.51,0.84
958,0.04,0.49,0.85
959,0.05,0.48,0.86
960,0.06,0.46,0.87
961,0.06,0.45,0.89
962,0.07,0.43,0.89
963,0.08,0.42,0.9
964,0.09,0.41,0.9
965,0.1,0.4,0.91
966,0.11,0.38,0.91
967,0.12,0.37,0.92
968,0.14,0.35,0.93
969,0.16,0.33,0.93
970,0.18,0.3,0.94
971,0.21,0.28,0.95
972,0.24,0.25,0.95
973,0.26,0.23,0.96
974,0.29,0.2,0.97
975,0.32,0.17,0.97
976,0.35,0.15,0.97
977,0.38,0.12,0.98
978,0.42,0.1,0.98
979,0.44,0.08,0.98
980,0.46,0.06,0.98
981,0.48,0.04,0.98
982,0.5,0.03,0.98
983,0.52,0.02,0.98
984,0.54,0.01,0.97
985,0.56,0.0,0.96
986,0.57,0.0,0.95
987,0.59,0.0,0.94
988,0.61,0.0,0.93
989,0.62,0.01,0.91
990,0.65,0.01,0.88
991,0.67,0.02,0.86
992,0.69,0.03,0.83
993,0.72,0.05,0.79
994,0.74,0.06,0.76
995,0.77,0.07,0.73
996,0.8,0.09,0.69
997,0.82,0.1,0.65
